Country Name,2015,2016,2017,2018,2019,2020
Uzbekistan,2615.025134,2567.799207,1826.566919,1529.082864,1719.05721,1685.764947
Vanuatu,2695.666186,2805.66532,3082.475083,3125.404999,3102.34679,2782.98434
"Venezuela, RB",..,..,..,..,..,..
Vietnam,2085.101349,2192.174482,2365.521615,2566.447487,2715.27598,2785.724157
Virgin Islands (U.S.),34796.49436,36022.54548,36287.87949,37233.29689,..,..
West Bank and Gaza,3272.154324,3527.613824,3620.360487,3562.330943,3656.858271,3239.731108
"Yemen, Rep.",1601.830063,1138.603723,960.528848,824.117718,..,..
Zambia,1338.290927,1280.806543,1535.196574,1516.3711,1305.002214,1050.919283
Zimbabwe,1445.069702,1464.588957,1335.665064,1352.162653,1156.154864,1128.210711
Africa Eastern and Southern,1503.859334,1401.281053,1536.206783,1530.161917,1481.425292,1326.663658
Africa Western and Central,1886.248158,1666.422406,1606.978332,1695.959215,1772.339155,1714.4268
Arab World,6346.032347,6093.331009,6095.66343,6568.984052,6570.174197,5802.104129
Caribbean small states,10116.51995,9560.194679,9810.470068,10250.43407,10355.40768,9192.767801
Central Europe and the Baltics,12513.20184,12822.37622,14238.19677,16034.71497,16294.377,16082.45771
Early-demographic dividend,3301.137579,3333.147041,3554.53187,3526.975044,3581.13274,3254.969411
East Asia & Pacific,9595.159207,9855.725329,10467.854,11318.84036,11499.63467,..
East Asia & Pacific (excluding high income),6519.038901,6609.484366,7172.701944,7968.089975,8194.265112,8291.745976
East Asia & Pacific (IDA & IBRD countries),6588.031586,6679.251594,7248.229616,8051.812548,8280.234696,8378.63094
Euro area,34367.1012,35137.75436,37045.47826,39997.55475,39042.50497,37712.12083
Europe & Central Asia,22582.9527,22404.89958,23617.21929,25221.76086,24791.4491,23780.38847
Europe & Central Asia (excluding high income),7546.232996,7177.772237,8018.714138,8206.596661,8337.857422,7656.593919
Europe & Central Asia (IDA & IBRD countries),8008.230261,7665.383797,8553.532336,8868.02881,9002.297601,8368.476616
European Union,30466.8095,31164.59504,33008.50414,35703.68953,34960.01562,33927.7189
Fragile and conflict affected situations,2167.407843,1928.978592,1929.877239,2021.725791,2107.423824,1864.57941
Heavily indebted poor countries (HIPC),927.1244575,909.5132254,944.4637175,979.8899885,984.8189428,973.2718546
High income,40398.44866,41013.34128,42658.20723,45114.36039,45297.71787,43833.93156
IBRD only,5579.990996,5572.724644,6094.71936,6415.154649,6510.727455,6187.685697
IDA & IBRD total,4536.057792,4505.604602,4889.873864,5127.061541,5192.129777,4929.861141
IDA blend,1949.18058,1773.844239,1712.650913,1747.506594,1758.035927,1664.260131
IDA only,1063.642258,1065.845678,1124.557574,1172.228221,1217.408147,1219.775623
IDA total,1366.150172,1305.681497,1321.432163,1364.109464,1396.320349,1364.157834
Late-demographic dividend,8219.840161,8190.535213,9034.226375,9849.861213,9989.873418,9758.448272
Latin America & Caribbean,8888.231171,8600.757385,9461.211347,9158.440964,8951.811517,7417.252167
Latin America & Caribbean (excluding high income),8241.120037,7930.715055,8743.84224,8395.074358,8213.078063,6733.112385
Latin America & the Caribbean (IDA & IBRD countries),8745.674436,8440.432404,9316.218215,9001.310135,8776.748232,7244.555569
Least developed countries: UN classification,1011.525345,986.9248236,1053.963522,1065.291106,1094.8944,1068.79814
Low & middle income,4382.340281,4353.084405,4721.748778,4944.432719,5012.754875,4759.244261
Low income,851.3552364,785.6338741,790.858529,795.9531592,820.8961823,821.8629308
Lower middle income,2074.977957,2134.936109,2266.935303,2264.39294,2352.783694,2200.401758
Middle East & North Africa,7357.406221,7257.019433,7403.30469,7546.701353,7511.823088,6669.90343
Middle East & North Africa (excluding high income),3924.979736,3919.466963,3801.05245,3501.870767,3507.507575,3066.225355
Middle East & North Africa (IDA & IBRD countries),3932.172284,3923.436,3802.414802,3500.262154,3504.714745,3063.189564
Middle income,4755.35979,4734.130971,5146.504264,5399.040431,5480.250809,5207.289024
