,Happiness_Rank,Country,Region,Happiness_Score,GDP_hscore,LifeExp_hscore,Freedom_hscore,Generosity_hscore,Corruption_hscore,Year,Actual_CrimeRate,Actual_GDP,Actual_LifeExp
109,145,Burkina Faso,Sub-Saharan Africa,3.739,0.31995,0.21297,0.3337,0.24353,0.12533,2016,,688.2506963,688.2506963
110,134,Burkina Faso,Sub-Saharan Africa,4.032000065,0.350227714,0.215844259,0.324367851,0.250864685,0.120328106,2017,,734.996268,734.996268
111,121,Burkina Faso,Sub-Saharan Africa,4.424,0.314,0.254,0.312,0.175,0.128,2018,,813.0996894,813.0996894
112,115,Burkina Faso,Sub-Saharan Africa,4.587,0.331,0.38,0.255,0.177,0.113,2019,,786.8954377,786.8954377
113,110,Burkina Faso,Sub-Saharan Africa,4.768700123,0.302467644,0.312833875,0.322398156,0.186390609,0.126408055,2020,,830.9251446,830.9251446
114,157,Burundi,Sub-Saharan Africa,2.905,0.0153,0.22396,0.1185,0.19727,0.10062,2015,,305.549646,305.549646
115,157,Burundi,Sub-Saharan Africa,2.905,0.06831,0.15747,0.0432,0.2029,0.09419,2016,,282.1930285,282.1930285
116,154,Burundi,Sub-Saharan Africa,2.904999971,0.091622569,0.151610792,0.059900753,0.204435185,0.084147945,2017,,292.9980095,292.9980095
117,156,Burundi,Sub-Saharan Africa,2.905,0.091,0.145,0.065,0.149,0.076,2018,,271.7524964,271.7524964
118,145,Burundi,Sub-Saharan Africa,3.775,0.046,0.38,0.22,0.176,0.18,2019,,261.2452912,261.2452912
119,133,Burundi,Sub-Saharan Africa,3.775300026,0.0,0.295212835,0.275399059,0.187401786,0.212186828,2020,,274.0095232,274.0095232
120,145,Cambodia,Southeast Asia,3.819,0.46038,0.61114,0.66246,0.40359,0.07247,2015,44.06,1162.904995,1162.904995
121,140,Cambodia,Southeast Asia,3.907,0.55604,0.42494,0.58852,0.40339,0.08092,2016,48.17,1269.591499,1269.591499
122,129,Cambodia,Southeast Asia,4.168000221,0.601765096,0.429783404,0.633375823,0.385922968,0.068105951,2017,54.61,1385.260066,1385.260066
123,120,Cambodia,Southeast Asia,4.433,0.549,0.457,0.696,0.256,0.065,2018,54.38,1512.126989,1512.126989
124,109,Cambodia,Southeast Asia,4.7,0.574,0.637,0.609,0.232,0.062,2019,51.28,1643.121389,1643.121389
125,104,Cambodia,Southeast Asia,4.848400116,0.544634938,0.587904334,0.674940348,0.233342081,0.072837502,2020,50.66,1512.727753,1512.727753
126,133,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.23402,0.49309,0.20618,0.05786,2015,64.84,1327.502561,1327.502561
127,114,Cameroon,Sub-Saharan Africa,4.513,0.52497,0.12698,0.42736,0.2268,0.06126,2016,,1364.32954,1364.32954
128,107,Cameroon,Sub-Saharan Africa,4.695000172,0.564305365,0.132892117,0.430388749,0.236298457,0.051306631,2017,,1425.106368,1425.106368
129,99,Cameroon,Sub-Saharan Africa,4.975,0.535,0.182,0.454,0.183,0.043,2018,,1534.492241,1534.492241
130,96,Cameroon,Sub-Saharan Africa,5.044,0.549,0.331,0.381,0.187,0.037,2019,,1507.449798,1507.449798
131,97,Cameroon,Sub-Saharan Africa,5.084899902,0.503958046,0.270189553,0.439242482,0.198020101,0.054393422,2020,,1499.372843,1499.372843
132,5,Canada,North America and ANZ,7.427,1.32629,0.90563,0.63297,0.45811,0.32957,2015,37.46,43596.13554,43596.13554
133,6,Canada,North America and ANZ,7.404,1.44015,0.8276,0.5737,0.44834,0.31329,2016,39.2,42315.60371,42315.60371
134,7,Canada,North America and ANZ,7.315999985,1.479204416,0.834557652,0.611100912,0.435539722,0.287371516,2017,39.25,45129.35644,45129.35644
135,7,Canada,North America and ANZ,7.328,1.33,0.896,0.653,0.321,0.291,2018,39.28,46454.74339,46454.74339
136,9,Canada,North America and ANZ,7.278,1.365,1.039,0.584,0.285,0.308,2019,39.51,46326.67264,46326.67264
137,11,Canada,North America and ANZ,7.23210001,1.301647663,1.022501945,0.644028127,0.28152892,0.351701856,2020,39.67,43241.61783,43241.61783
138,149,Chad,Sub-Saharan Africa,3.667,0.34193,0.1501,0.23501,0.18386,0.05269,2015,,776.0197523,776.0197523
139,144,Chad,Sub-Saharan Africa,3.763,0.42214,0.03824,0.12807,0.18667,0.04952,2016,,693.4497674,693.4497674
140,137,Chad,Sub-Saharan Africa,3.936000109,0.438012987,0.041134715,0.162342027,0.21611385,0.053581882,2017,,665.9488849,665.9488849
141,131,Chad,Sub-Saharan Africa,4.301,0.358,0.053,0.189,0.181,0.06,2018,,726.1510071,726.1510071
142,132,Chad,Sub-Saharan Africa,4.35,0.35,0.192,0.174,0.198,0.078,2019,,709.5400432,709.5400432
143,122,Chad,Sub-Saharan Africa,4.422699928,0.302287489,0.1087441,0.228601769,0.210805088,0.085755408,2020,,614.4651899,614.4651899
144,27,Chile,Latin America and Caribbean,6.67,1.10715,0.85857,0.44132,0.33363,0.12869,2015,45.01,13574.16924,13574.16924
145,24,Chile,Latin America and Caribbean,6.705,1.2167,0.81883,0.37789,0.31595,0.11451,2016,42.0,13753.59215,13753.59215
146,20,Chile,Latin America and Caribbean,6.65199995,1.25278461,0.819479704,0.376895279,0.326662421,0.082287982,2017,47.5,14998.81706,14998.81706
147,25,Chile,Latin America and Caribbean,6.476,1.131,0.808,0.431,0.197,0.061,2018,46.48,15888.14436,15888.14436
148,26,Chile,Latin America and Caribbean,6.444,1.159,0.92,0.357,0.187,0.056,2019,46.81,14741.7144,14741.7144
149,39,Chile,Latin America and Caribbean,6.228499889,1.096992493,0.889260828,0.417482227,0.155579001,0.06284935,2020,45.23,13231.70421,13231.70421
150,84,China,East Asia,5.14,0.89012,0.81658,0.51697,0.08185,0.02781,2015,41.75,8066.942635,8066.942635
151,83,China,East Asia,5.245,1.0278,0.73561,0.44012,0.04959,0.02745,2016,32.08,8147.937705,8147.937705
152,79,China,East Asia,5.272999763,1.081165791,0.741415501,0.472787708,0.028806841,0.022794275,2017,33.9,8879.438667,8879.438667
153,86,China,East Asia,5.246,0.989,0.799,0.597,0.029,0.103,2018,39.44,9976.677137,9976.677137
154,93,China,East Asia,5.191,1.029,0.893,0.521,0.058,0.1,2019,45.46,10216.63033,10216.63033
155,93,China,East Asia,5.123899937,0.990533412,0.867248535,0.601605117,0.079021044,0.117255554,2020,31.83,10500.39562,10500.39562
156,33,Colombia,Latin America and Caribbean,6.477,0.91861,0.69077,0.53466,0.18401,0.0512,2015,56.88,6175.87603,6175.87603
157,31,Colombia,Latin America and Caribbean,6.481,1.03032,0.59659,0.44735,0.15626,0.05399,2016,48.51,5870.777957,5870.777957
158,36,Colombia,Latin America and Caribbean,6.356999874,1.070622325,0.595027924,0.477487415,0.149014473,0.046668742,2017,51.69,6376.706716,6376.706716
159,37,Colombia,Latin America and Caribbean,6.26,0.96,0.635,0.531,0.099,0.039,2018,50.66,6729.583332,6729.583332
160,43,Colombia,Latin America and Caribbean,6.125,0.985,0.841,0.47,0.099,0.034,2019,51.26,6424.979492,6424.979492
161,44,Colombia,Latin America and Caribbean,6.163400173,0.93220371,0.810020149,0.526890039,0.092374094,0.04584837,2020,54.79,5332.773524,5332.773524
162,139,Congo (Brazzaville),Sub-Saharan Africa,3.989,0.67866,0.31051,0.41466,0.12388,0.11686,2015,,,
163,127,Congo (Brazzaville),Sub-Saharan Africa,4.236,0.77109,0.28212,0.37938,0.12077,0.09753,2016,,,
164,124,Congo (Brazzaville),Sub-Saharan Africa,4.290999889,0.808964252,0.289957434,0.435025871,0.120852128,0.079618134,2017,,,
165,114,Congo (Brazzaville),Sub-Saharan Africa,4.559,0.682,0.343,0.514,0.091,0.077,2018,,,
166,103,Congo (Brazzaville),Sub-Saharan Africa,4.812,0.673,0.508,0.372,0.105,0.093,2019,,,
167,87,Congo (Brazzaville),Sub-Saharan Africa,5.194399834,0.633616745,0.458101124,0.386514395,0.117216013,0.118670784,2020,,,
168,120,Congo (Kinshasa),Sub-Saharan Africa,4.517,0.0,0.09806,0.22605,0.24834,0.07625,2015,,,
169,125,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.188,0.15602,0.25458,0.06075,2016,,,
170,126,Congo (Kinshasa),Sub-Saharan Africa,4.28000021,0.092102349,0.191407025,0.235961348,0.246455833,0.060241356,2017,,,
171,132,Congo (Kinshasa),Sub-Saharan Africa,4.245,0.069,0.204,0.312,0.197,0.052,2018,,,
172,127,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,0.357,0.269,0.212,0.053,2019,,,
173,126,Congo (Kinshasa),Sub-Saharan Africa,4.31099987,0.062487468,0.277212054,0.36462298,0.254324883,0.081466645,2020,,,
174,12,Costa Rica,Latin America and Caribbean,7.226,0.95578,0.86027,0.63376,0.25497,0.10583,2015,63.05,11642.77805,11642.77805
175,14,Costa Rica,Latin America and Caribbean,7.087,1.06879,0.76146,0.55225,0.22553,0.10547,2016,57.56,12011.22275,12011.22275
